left_arm_angle,right_arm_angle,leg_spread_angle,label,source
146.50569,149.4435,106.16157,jack_out,1
141.22025,144.09198,100.55993,jack_out,1
135.58728,133.58588,105.67352,jack_out,1
9.302166,13.29222,15.333641,jack_in,2
8.199894,11.016262,15.152046,jack_in,2
8.420538,10.790434,15.574268,jack_in,2
20.870754,17.983332,17.751522,jack_in,2
22.32651,10.552509,15.785207,jack_in,2
28.493181,40.678123,17.253555,jack_in,2
27.854788,30.736639,16.272718,jack_in,2
17.233984,21.086077,15.469981,jack_in,2
12.083363,15.811022,17.678154,jack_in,2
10.380098,12.794948,16.47309,jack_in,2
10.575403,12.8467045,15.7001295,jack_in,2
11.407188,17.012196,15.852156,jack_in,2
7.1642885,7.6035676,16.62982,jack_in,2
8.603365,9.171833,19.409725,jack_in,2
11.99411,13.388692,16.247812,jack_in,2
14.360202,15.007904,18.97438,jack_in,2
17.458536,19.45976,18.95492,jack_in,2
22.808855,27.635145,17.911783,jack_in,2
28.02389,38.184013,17.796017,jack_in,2
29.494514,37.676598,19.754843,jack_in,2
23.790848,31.259588,17.20498,jack_in,2
19.463503,21.860193,18.31582,jack_in,2
16.365017,15.926214,16.292011,jack_in,2
10.533603,13.48434,16.349834,jack_in,2
10.512211,10.081181,16.780895,jack_in,2
7.704209,18.130102,16.601383,jack_in,2
7.3553004,12.901102,18.579842,jack_in,2
8.06246,11.164912,19.418797,jack_in,2
9.085645,12.926209,18.14024,jack_in,2
15.684157,17.178616,18.313963,jack_in,2
15.785859,20.924646,16.85013,jack_in,2
19.768639,28.535545,18.725977,jack_in,2
29.64023,37.67326,19.080536,jack_in,2
23.610851,26.062532,16.859283,jack_in,2
20.82404,21.964607,16.112684,jack_in,2
14.518239,14.980356,15.754872,jack_in,2
10.651463,10.820673,15.900183,jack_in,2
7.7925606,10.4948435,17.271992,jack_in,2
6.921099,11.800177,18.45737,jack_in,2
8.476581,13.174874,18.444864,jack_in,2
8.157862,10.272187,23.007643,jack_in,2
13.65004,13.50594,21.126904,jack_in,2
16.926144,17.803467,18.376667,jack_in,2
17.597883,19.480408,16.339859,jack_in,2
26.05255,26.73153,18.13321,jack_in,2
29.823439,37.386112,19.599453,jack_in,2
32.220036,32.608288,16.749367,jack_in,2
23.846823,25.19322,16.021435,jack_in,2
17.768284,19.654924,15.27639,jack_in,2
13.777383,16.32125,16.001846,jack_in,2
12.86451,11.657647,17.069984,jack_in,2
